127.0.0.1, 2017-01-29 01:07:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000727
127.0.0.1, 2017-01-29 01:07:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000593
127.0.0.1, 2017-01-29 01:07:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000592
127.0.0.1, 2017-01-29 01:08:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000610
127.0.0.1, 2017-01-29 01:08:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000364
127.0.0.1, 2017-01-29 01:08:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.068296
127.0.0.1, 2017-01-29 01:08:39, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000868
127.0.0.1, 2017-01-29 01:08:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000474
127.0.0.1, 2017-01-29 01:09:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.075445
127.0.0.1, 2017-01-29 01:09:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.036641
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.024876
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000687
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002958
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000831
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000893
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000924
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000550
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.014118
127.0.0.1, 2017-01-29 01:09:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000501
